split,intent_type,compiled,dispatchable,abstained,incomplete,scenarios
test_challenge,appworld_amazon_order_product_type_from_saved_list,6,6,0,0,2
test_challenge,appworld_amazon_move_product_type_between_saved_lists,3,3,0,0,1
test_challenge,appworld_amazon_move_rating_filtered_products,3,3,0,0,1
test_challenge,appworld_amazon_purchase_phone_recommendation,3,3,0,0,1
test_challenge,appworld_delete_gmail_empty_drafts,3,3,0,0,1
test_challenge,appworld_gmail_star_threads_by_relationship,3,3,0,0,1
test_challenge,appworld_gmail_thread_cleanup,3,3,0,0,1
test_challenge,appworld_phone_message_app_account_verify_reset,3,3,0,0,1
test_challenge,appworld_remove_expired_payment_cards,3,3,0,0,1
test_challenge,appworld_spotify_playlist_from_workout_email,3,3,0,0,1
test_challenge,appworld_venmo_change_password,3,3,0,0,1
test_normal,appworld_venmo_friend_transaction_counterparties,6,6,0,0,2
test_normal,appworld_file_delete_downloads_by_extension,3,3,0,0,1
test_normal,appworld_file_reorganize_dated_meeting_files,3,3,0,0,1
test_normal,appworld_file_update_reunion_rsvps_from_phone,3,3,0,0,1
test_normal,appworld_pay_csv_debts_via_venmo_or_splitwise,3,3,0,0,1
test_normal,appworld_phone_reply_favorite_recipe_to_relationship,3,3,0,0,1
test_normal,appworld_phone_send_message_to_relationship,3,3,0,0,1
test_normal,appworld_phone_update_wake_alarm_snooze,3,3,0,0,1
test_normal,appworld_simple_note_add_today_habit_log,3,3,0,0,1
test_normal,appworld_simple_note_count_bucket_list_status,3,3,0,0,1
test_normal,appworld_simple_note_export_habit_tracker_csv,3,3,0,0,1
test_normal,appworld_simple_note_fill_liked_song_release_months,3,3,0,0,1
test_normal,appworld_simple_note_import_markdown_files,3,3,0,0,1
test_normal,appworld_simple_note_longest_habit_streak,3,3,0,0,1
test_normal,appworld_simple_note_random_quote,3,3,0,0,1
test_normal,appworld_simple_note_update_monthly_venmo_expense,3,3,0,0,1
test_normal,appworld_simple_note_workout_duration,3,3,0,0,1
test_normal,appworld_splitwise_accept_known_phone_invitations,3,3,0,0,1
test_normal,appworld_splitwise_record_trip_expenses_from_simple_note,3,3,0,0,1
test_normal,appworld_splitwise_record_venmo_receipt_payments,3,3,0,0,1
test_normal,appworld_spotify_append_most_common_playlist_genre,3,3,0,0,1
test_normal,appworld_spotify_apply_phone_playlist_suggestions,3,3,0,0,1
test_normal,appworld_spotify_apply_todoist_playlist_suggestions,3,3,0,0,1
test_normal,appworld_spotify_archive_playlist_songs_from_file,3,3,0,0,1
test_normal,appworld_spotify_filter_queue_by_liked_status,3,3,0,0,1
test_normal,appworld_spotify_followed_artist_follower_extreme,3,3,0,0,1
test_normal,appworld_spotify_like_all_library_items,3,3,0,0,1
test_normal,appworld_spotify_liked_genre_extreme,3,3,0,0,1
test_normal,appworld_spotify_navigate_until_private_status,3,3,0,0,1
test_normal,appworld_spotify_play_offline_downloaded_collection,3,3,0,0,1
test_normal,appworld_spotify_play_released_year_from_collection,3,3,0,0,1
test_normal,appworld_spotify_playlist_artist_song_count_extreme,3,3,0,0,1
test_normal,appworld_spotify_playlist_from_recent_simple_note,3,3,0,0,1
test_normal,appworld_spotify_public_liked_library_playlist_share,3,3,0,0,1
test_normal,appworld_spotify_reset_queue_with_recommendations,3,3,0,0,1
test_normal,appworld_todoist_fill_today_from_schedule,3,3,0,0,1
test_normal,appworld_todoist_reassign_accepted_takeover_tasks,3,3,0,0,1
test_normal,appworld_venmo_accept_named_carpool_request_this_month,3,3,0,0,1
test_normal,appworld_venmo_add_friends_by_relationships,3,3,0,0,1
test_normal,appworld_venmo_approve_requests_and_withdraw_balance,3,3,0,0,1
test_normal,appworld_venmo_approve_roommate_requests_this_month,3,3,0,0,1
test_normal,appworld_venmo_birthday_child_payment_and_text,3,3,0,0,1
test_normal,appworld_venmo_correct_housing_bill_request,3,3,0,0,1
test_normal,appworld_venmo_correct_sent_requests_yesterday_evening,3,3,0,0,1
test_normal,appworld_venmo_count_friends_since_month_start,3,3,0,0,1
test_normal,appworld_venmo_request_money_from_contact,3,3,0,0,1
test_normal,appworld_venmo_reset_friends_to_phone_friends,3,3,0,0,1
test_normal,appworld_venmo_send_to_each_relationship_with_refill,3,3,0,0,1
test_normal,appworld_venmo_send_to_named_user,3,3,0,0,1
test_normal,appworld_venmo_settle_roommate_dinner,3,3,0,0,1
test_normal,appworld_venmo_settle_trip_note_debts,3,3,0,0,1
test_normal,appworld_venmo_signup_missing_relationship_accounts,3,3,0,0,1
test_normal,appworld_venmo_sum_month_transactions,3,3,0,0,1
test_normal,appworld_venmo_sum_recent_received_requests,3,3,0,0,1
test_normal,appworld_venmo_sum_year_bill_payments,3,3,0,0,1
